Postal Code,Place Name,State,State Abbreviation,Latitude,Longitude
966 11,Trnavá Hora,Žiar nad Hronom,BC,48.6,18.9667
966 21,Dolná Trnávka,Žiar nad Hronom,BC,48.5667,18.8
966 22,Lutila,Žiar nad Hronom,BC,48.6167,18.85
966 23,Trubín,Žiar nad Hronom,BC,48.6167,18.7833
966 24,Janova Lehota,Žiar nad Hronom,BC,48.6667,18.7833
966 32,Jastrabá,Žiar nad Hronom,BC,48.6333,18.9333
967 01,Dolná Ves,Žiar nad Hronom,BC,48.6667,18.9167
821 06,Bratislava - Podunajské Biskupice,Bratislava II,BL,48.15,17.1167
821 07,Bratislava - Vraku?a,Bratislava II,BL,48.15,17.1167
831 07,Bratislava - Vajnory,Bratislava III,BL,48.15,17.1167
841 03,Bratislava - Lama?,Bratislava IV,BL,48.15,17.1167
841 06,Bratislava - Záhorská Bystrica,Bratislava IV,BL,48.15,17.1167
841 10,Bratislava - Devín,Bratislava IV,BL,48.15,17.1167
851 10,Bratislava - ?unovo,Bratislava V,BL,48.15,17.1167
900 31,Stupava,Malacky,BL,48.2833,17.0333
900 32,Borinka,Malacky,BL,48.2667,17.0833
900 33,Marianka,Malacky,BL,48.25,17.0667
900 51,Zohor,Malacky,BL,48.3667,17.1222
900 52,Kuchy?a,Malacky,BL,48.4,17.1667
900 53,Pernek,Malacky,BL,48.3667,17.15
900 54,Jablonové,Malacky,BL,49.1833,18.5667
900 55,Lozorno,Malacky,BL,48.3333,17.05
900 61,Gajary,Malacky,BL,48.3667,17
900 62,Kostolište,Malacky,BL,48.3667,17
900 63,Jakubov,Malacky,BL,48.3667,17
900 64,Suchohrad,Malacky,BL,48.3667,17
900 65,Záhorská Ves,Malacky,BL,48.3667,17
900 66,Vysoká pri Morave,Malacky,BL,48.3667,17
900 67,Láb,Malacky,BL,48.3667,17
900 68,Plavecký Štvrtok,Malacky,BL,48.3667,17
901 01,Vinohrádok,Malacky,BL,48.4167,17
906 35,Plavecký Mikuláš,Malacky,BL,48.5167,17.3
906 36,Plavecké Podhradie,Malacky,BL,48.4833,17.2667
906 37,Sološnica,Malacky,BL,48.4667,17.2333
906 38,Rohožník,Malacky,BL,49.1167,21.7667
