Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude
00152,Roma,Lazio,LZ,Roma,41.9,12.4833
00153,Roma,Lazio,LZ,Roma,41.9,12.4833
00154,Roma,Lazio,LZ,Roma,41.9,12.4833
00155,La Rustica,Lazio,LZ,Roma,41.9,12.5333
00156,Roma,Lazio,LZ,Roma,41.9,12.4833
00157,Roma,Lazio,LZ,Roma,41.9,12.4833
00158,Roma,Lazio,LZ,Roma,41.9,12.4833
00159,Roma,Lazio,LZ,Roma,41.9,12.4833
00161,Roma,Lazio,LZ,Roma,41.9,12.4833
00162,Roma,Lazio,LZ,Roma,41.9,12.4833
00163,Roma,Lazio,LZ,Roma,41.9,12.4833
00164,Roma,Lazio,LZ,Roma,41.9,12.4833
00165,Roma,Lazio,LZ,Roma,41.9,12.4833
00166,Borgata Casalotti,Lazio,LZ,Roma,41.9,12.4833
00167,Roma,Lazio,LZ,Roma,41.9,12.4833
00168,Roma,Lazio,LZ,Roma,41.9,12.4833
00169,Torre Spaccata,Lazio,LZ,Roma,41.9,12.4833
00171,Roma,Lazio,LZ,Roma,41.9,12.4833
00172,Roma,Lazio,LZ,Roma,41.9,12.4833
00173,Roma,Lazio,LZ,Roma,41.9,12.4833
00174,Roma,Lazio,LZ,Roma,41.9,12.4833
00175,Roma,Lazio,LZ,Roma,41.9,12.4833
00176,Roma,Lazio,LZ,Roma,41.9,12.4833
00177,Roma,Lazio,LZ,Roma,41.9,12.4833
00178,Capannelle,Lazio,LZ,Roma,41.8333,12.5667
00179,Roma,Lazio,LZ,Roma,41.9,12.4833
00181,Roma,Lazio,LZ,Roma,41.9,12.4833
00182,Roma,Lazio,LZ,Roma,41.9,12.4833
00183,Roma,Lazio,LZ,Roma,41.9,12.4833
00184,Roma,Lazio,LZ,Roma,41.9,12.4833
00185,Roma,Lazio,LZ,Roma,41.9,12.4833
00186,Roma,Lazio,LZ,Roma,41.9,12.4833
00187,Roma,Lazio,LZ,Roma,41.9,12.4833
00188,Labaro,Lazio,LZ,Roma,41.95,12.4833
00189,Grottarossa,Lazio,LZ,Roma,41.9,12.4833
00191,Roma,Lazio,LZ,Roma,41.9,12.4833
00192,Roma,Lazio,LZ,Roma,41.9,12.4833
00193,Roma,Lazio,LZ,Roma,41.9,12.4833
00194,Roma,Lazio,LZ,Roma,41.9,12.4833
00195,Roma,Lazio,LZ,Roma,41.9,12.4833
00196,Roma,Lazio,LZ,Roma,41.9,12.4833
00197,Roma,Lazio,LZ,Roma,41.9,12.4833
00198,Roma,Lazio,LZ,Roma,41.9,12.4833
00199,Roma,Lazio,LZ,Roma,41.9,12.4833
01100,Viterbo,Lazio,LZ,Viterbo,42.4174,12.1049
60100,Ancona,Marche,MH,Ancona,43.6333,13.5
60121,Ancona,Marche,MH,Ancona,43.6333,13.5
60122,Ancona,Marche,MH,Ancona,43.6333,13.5
60123,Ancona,Marche,MH,Ancona,43.6333,13.5
60124,Ancona,Marche,MH,Ancona,43.6333,13.5
60125,Ancona,Marche,MH,Ancona,43.6333,13.5
60126,Ancona,Marche,MH,Ancona,43.6333,13.5
60127,Pinocchio,Marche,MH,Ancona,43.5833,13.5
