Postal Code,Place Name,State,State Abbreviation,City,Latitude,Longitude
2470,Retie,Vlaanderen,VLG,Antwerpen,51.2667,5.0667
2480,Dessel,Vlaanderen,VLG,Antwerpen,51.2333,5.1167
2490,Balen,Vlaanderen,VLG,Antwerpen,51.1667,5.15
2491,Balen Olmen,Vlaanderen,VLG,Antwerpen,51.15,5.1667
2500,Lier,Vlaanderen,VLG,Antwerpen,51.1,4.6
2520,Ranst Emblem,Vlaanderen,VLG,Antwerpen,51.1667,4.6
2530,Boechout,Vlaanderen,VLG,Antwerpen,51.1667,4.5
2531,Boechout Vremde,Vlaanderen,VLG,Antwerpen,51.1833,4.5167
2540,Hove,Vlaanderen,VLG,Antwerpen,51.15,4.4667
2547,Lint,Vlaanderen,VLG,Antwerpen,51.1333,4.5
2550,Kontich,Vlaanderen,VLG,Antwerpen,51.1333,4.45
2560,Nijlen Bevel,Vlaanderen,VLG,Antwerpen,51.1333,4.6833
2570,Duffel,Vlaanderen,VLG,Antwerpen,51.1,4.5167
2580,Putte Beerzel,Vlaanderen,VLG,Antwerpen,51.0667,4.6667
2590,Berlaar Gestel,Vlaanderen,VLG,Antwerpen,51.1333,4.65
2600,Antwerpen,Vlaanderen,VLG,Antwerpen,51.2167,4.4167
2610,Antwerpen,Vlaanderen,VLG,Antwerpen,51.2167,4.4167
2620,Hemiksem,Vlaanderen,VLG,Antwerpen,51.15,4.35
2627,Schelle,Vlaanderen,VLG,Antwerpen,51.1333,4.3333
2630,Aartselaar,Vlaanderen,VLG,Antwerpen,51.1333,4.3833
2640,Mortsel,Vlaanderen,VLG,Antwerpen,51.1667,4.4667
2650,Edegem,Vlaanderen,VLG,Antwerpen,51.15,4.45
2660,Antwerpen Hoboken,Vlaanderen,VLG,Antwerpen,51.1667,4.35
2800,Mechelen,Vlaanderen,VLG,Antwerpen,51.0333,4.4667
2801,Mechelen Heffen,Vlaanderen,VLG,Antwerpen,51.05,4.4167
2811,Mechelen Hombeek,Vlaanderen,VLG,Antwerpen,51.0167,4.45
2812,Mechelen Muizen,Vlaanderen,VLG,Antwerpen,51.0333,4.4667
2820,Bonheiden,Vlaanderen,VLG,Antwerpen,51.0226,4.5471
2830,Willebroek Tisselt,Vlaanderen,VLG,Antwerpen,51.0333,4.3667
2840,Rumst Terhagen,Vlaanderen,VLG,Antwerpen,51.0833,4.4
2845,Niel,Vlaanderen,VLG,Antwerpen,51.1167,4.3333
2850,Boom,Vlaanderen,VLG,Antwerpen,51.0833,4.3667
2860,Sint-Katelijne-Waver,Vlaanderen,VLG,Antwerpen,51.0667,4.5333
2861,Sint-Katelijne-Waver Onze-Lieve-Vrouw-Waver,Vlaanderen,VLG,Antwerpen,51.0667,4.5667
2870,Puurs Ruisbroek,Vlaanderen,VLG,Antwerpen,51.0667,4.3
2880,Bornem Hingene,Vlaanderen,VLG,Antwerpen,51.1,4.2667
2890,Sint-Amands Lippelo,Vlaanderen,VLG,Antwerpen,51.05,4.2667
2900,Schoten,Vlaanderen,VLG,Antwerpen,51.25,4.5
2910,Essen,Vlaanderen,VLG,Antwerpen,51.4667,4.4667
2920,Kalmthout,Vlaanderen,VLG,Antwerpen,51.3833,4.4667
2930,Brasschaat,Vlaanderen,VLG,Antwerpen,51.2833,4.45
2940,Stabroek Hoevenen,Vlaanderen,VLG,Antwerpen,51.3,4.3833
2950,Kapellen,Vlaanderen,VLG,Antwerpen,51.3167,4.4333
2960,Brecht Sint-Jobin't-Goor,Vlaanderen,VLG,Antwerpen,51.35,4.6583
2970,Schilde 's Gravenwezel,Vlaanderen,VLG,Antwerpen,51.2333,4.5667
2980,Zoersel Halle,Vlaanderen,VLG,Antwerpen,51.2667,4.7
2990,Wuustwezel,Vlaanderen,VLG,Antwerpen,51.3833,4.6
3000,Leuven,Vlaanderen,VLG,Vlaams Brabant,50.8796,4.7009
3001,Leuven,Vlaanderen,VLG,Vlaams Brabant,50.8796,4.7009
3010,Leuven,Vlaanderen,VLG,Vlaams Brabant,50.8796,4.7009
3012,Leuven Wilsele,Vlaanderen,VLG,Vlaams Brabant,50.8796,4.7009
3018,Leuven Wijgmaal,Vlaanderen,VLG,Vlaams Brabant,50.8796,4.7009
3020,Herent Winksele,Vlaanderen,VLG,Vlaams Brabant,50.9,4.65
3040,Huldenberg Neerijse,Vlaanderen,VLG,Vlaams Brabant,50.8167,4.6167
3050,Oud-Heverlee,Vlaanderen,VLG,Vlaams Brabant,50.8333,4.6667
3051,Oud-Heverlee Sint-Joris-Weert,Vlaanderen,VLG,Vlaams Brabant,50.8,4.65
3052,Oud-Heverlee Blanden,Vlaanderen,VLG,Vlaams Brabant,50.8333,4.7167
3053,Oud-Heverlee Haasrode,Vlaanderen,VLG,Vlaams Brabant,50.8333,4.7333
3054,Oud-Heverlee,Vlaanderen,VLG,Vlaams Brabant,50.8333,4.6667
3060,Bertem,Vlaanderen,VLG,Vlaams Brabant,50.8667,4.6333
3061,Bertem Leefdaal,Vlaanderen,VLG,Vlaams Brabant,50.85,4.5833
3070,Kortenberg,Vlaanderen,VLG,Vlaams Brabant,50.8833,4.5333
3071,Kortenberg Erps-Kwerps,Vlaanderen,VLG,Vlaams Brabant,50.9,4.5667
3078,Kortenberg Everberg,Vlaanderen,VLG,Vlaams Brabant,50.8833,4.5667
3080,Tervuren Vossem,Vlaanderen,VLG,Vlaams Brabant,50.8333,4.55
3090,Overijse Terlanen,Vlaanderen,VLG,Vlaams Brabant,50.7667,4.5333
3110,Rotselaar,Vlaanderen,VLG,Vlaams Brabant,50.95,4.7167
3111,Rotselaar Wezemaal,Vlaanderen,VLG,Vlaams Brabant,50.95,4.7667
3118,Rotselaar Werchter,Vlaanderen,VLG,Vlaams Brabant,50.9667,4.7
3120,Tremelo,Vlaanderen,VLG,Vlaams Brabant,50.9833,4.7
3128,Tremelo,Vlaanderen,VLG,Vlaams Brabant,50.9833,4.7
3130,Begijnendijk,Vlaanderen,VLG,Vlaams Brabant,51.019,4.7825
3140,Keerbergen,Vlaanderen,VLG,Vlaams Brabant,51,4.6167
3150,Haacht Wakkerzeel,Vlaanderen,VLG,Vlaams Brabant,50.9611,4.6333
3190,Boortmeerbeek,Vlaanderen,VLG,Vlaams Brabant,50.9833,4.5667
3191,Boortmeerbeek Hever,Vlaanderen,VLG,Vlaams Brabant,51,4.55
3200,Aarschot,Vlaanderen,VLG,Vlaams Brabant,50.9833,4.8333
3201,Aarschot,Vlaanderen,VLG,Vlaams Brabant,50.9833,4.8333
3202,Aarschot Rillaar,Vlaanderen,VLG,Vlaams Brabant,50.9667,4.9
3210,Lubbeek,Vlaanderen,VLG,Vlaams Brabant,50.8833,4.8333
3211,Lubbeek,Vlaanderen,VLG,Vlaams Brabant,50.8833,4.8333
3212,Lubbeek,Vlaanderen,VLG,Vlaams Brabant,50.8833,4.8333
3220,Holsbeek,Vlaanderen,VLG,Vlaams Brabant,50.9167,4.75
3221,Holsbeek Nieuwrode,Vlaanderen,VLG,Vlaams Brabant,50.95,4.8333
3270,Scherpenheuvel-Zichem Scherpenheuvel,Vlaanderen,VLG,Vlaams Brabant,51,4.9833
3271,Scherpenheuvel-Zichem,Vlaanderen,VLG,Vlaams Brabant,51,4.9833
3272,Scherpenheuvel-Zichem Testelt,Vlaanderen,VLG,Vlaams Brabant,51,4.9833
3290,Diest Webbekom,Vlaanderen,VLG,Vlaams Brabant,50.9667,5.0667
3293,Diest,Vlaanderen,VLG,Vlaams Brabant,50.9834,5.0501
3294,Diest Molenstede,Vlaanderen,VLG,Vlaams Brabant,51,5.0167
3300,Tienen Hakendover,Vlaanderen,VLG,Vlaams Brabant,50.8,4.9833
3320,Hoegaarden,Vlaanderen,VLG,Vlaams Brabant,50.7833,4.9
3321,Hoegaarden Outgaarden,Vlaanderen,VLG,Vlaams Brabant,50.7667,4.9167
3350,Linter,Vlaanderen,VLG,Vlaams Brabant,50.8167,5.0452
3360,Bierbeek Lovenjoel,Vlaanderen,VLG,Vlaams Brabant,50.85,4.7833
