Postal Code,Place Name,State,State Abbreviation,County,City,Latitude,Longitude
8481,????? / Iskra,?????? / Burgas,BGS,???????? / Karnobat,????? / Iskra,42.6833,26.8833
8482,??????? / Krushovo,?????? / Burgas,BGS,???????? / Karnobat,,42.55,27.0667
8483,???????? / Detelina,?????? / Burgas,BGS,???????? / Karnobat,???????? / Detelina,42.5667,27.0333
8484,???-??????? / San-Stefano,?????? / Burgas,BGS,???????? / Karnobat,,42.5167,26.8833
8487,??????? ??????? / Krumovo gradishhe,?????? / Burgas,BGS,???????? / Karnobat,??????? ??????? / Krumovo gradishhe,42.6167,26.9333
8488,???????? / Zheleznik,?????? / Burgas,BGS,???????? / Karnobat,,42.5667,26.9
8489,???????? / Draganci,?????? / Burgas,BGS,???????? / Karnobat,,42.5667,26.9833
8490,?????? ???????? / Ekzarkh Antimovo,?????? / Burgas,BGS,???????? / Karnobat,?????? ???????? / Ekzarkh Antimovo,42.5333,26.9833
8491,??????? / Smolnik,?????? / Burgas,BGS,???????? / Karnobat,,42.5333,26.9333
8492,???????? / Khadzhiite,?????? / Burgas,BGS,???????? / Karnobat,???????? / Khadzhiite,42.6,27.0833
8493,?????? / Kozare,?????? / Burgas,BGS,???????? / Karnobat,,42.6,27.05
8350,????? ??????? / Malko Turnovo,?????? / Burgas,BGS,????? ??????? / Malko Turnovo,,41.9833,27.5333
8357,??????? / Brushljan,?????? / Burgas,BGS,????? ??????? / Malko Turnovo,,42.05,27.4333
8358,????????? / Slivarovo,?????? / Burgas,BGS,????? ??????? / Malko Turnovo,,41.9667,27.6667
8359,???????? / Stoilovo,?????? / Burgas,BGS,????? ??????? / Malko Turnovo,,42.0333,27.5167
8360,??????? / Zvezdec,?????? / Burgas,BGS,????? ??????? / Malko Turnovo,??????? / Zvezdec,42.1167,27.4167
8361,???? ???? / Bjala voda,?????? / Burgas,BGS,????? ??????? / Malko Turnovo,,42.1667,27.4667
8363,?????????? / Evrenozovo,?????? / Burgas,BGS,????? ??????? / Malko Turnovo,??????? / Zvezdec,42.1333,27.35
8364,???????? / Mladezhko,?????? / Burgas,BGS,????? ??????? / Malko Turnovo,??????? / Zvezdec,42.15,27.3667
8365,??????? / Bliznak,?????? / Burgas,BGS,????? ??????? / Malko Turnovo,,42.1667,27.3
8367,????????? / Zabernovo,?????? / Burgas,BGS,????? ??????? / Malko Turnovo,,42.1,27.5667
8368,?????? / Kalovo,?????? / Burgas,BGS,????? ??????? / Malko Turnovo,,42.1333,27.5333
8369,?????? / Vizica,?????? / Burgas,BGS,????? ??????? / Malko Turnovo,,42.1381,27.4286
8370,??????????? / Gramatikovo,?????? / Burgas,BGS,????? ??????? / Malko Turnovo,??????????? / Gramatikovo,42.0667,27.65
8260,?????? / Carevo,?????? / Burgas,BGS,?????? / Carevo,,42.1667,27.85
8271,?????? / Velika,?????? / Burgas,BGS,?????? / Carevo,,42.1833,27.7833
8272,???????? / Fazanovo,?????? / Burgas,BGS,?????? / Carevo,,42.1667,27.7
8273,?????? / Izgrev,?????? / Burgas,BGS,?????? / Carevo,,42.15,27.8
8274,??????? / Bulgari,?????? / Burgas,BGS,?????? / Carevo,,42.1,27.7333
8275,????????? / Kondolovo,?????? / Burgas,BGS,?????? / Carevo,,42.1,27.6833
8277,??????? / Lozenec,?????? / Burgas,BGS,?????? / Carevo,??????? / Lozenec,42.2167,27.8
8278,??????? / Varvara,?????? / Burgas,BGS,?????? / Carevo,??????? / Varvara,42.1167,27.9167
8279,????????? / Sinemorec,?????? / Burgas,BGS,?????? / Carevo,,42.0667,27.9833
8280,??????? / Akhtopol,?????? / Burgas,BGS,?????? / Carevo,??????? / Akhtopol,42.1,27.95
8281,?????? / Rezovo,?????? / Burgas,BGS,?????? / Carevo,,41.9853,28.0314
8282,????????? / Brodilovo,?????? / Burgas,BGS,?????? / Carevo,????????? / Brodilovo,42.0833,27.85
8283,????? / Kosti,?????? / Burgas,BGS,?????? / Carevo,????? / Kosti,42.0667,27.7833
8221,????? / Ravda,?????? / Burgas,BGS,??????? / Nesebur,????? / Ravda,42.65,27.6833
8223,????? / Emona,?????? / Burgas,BGS,??????? / Nesebur,???? / Banja,42.7167,27.8833
8224,???????? / Kosharica,?????? / Burgas,BGS,??????? / Nesebur,???????? / Kosharica,42.75,27.7
8227,??????? / Orizare,?????? / Burgas,BGS,??????? / Nesebur,??????? / Orizare,42.75,27.6167
8230,??????? / Nesebur,?????? / Burgas,BGS,??????? / Nesebur,,42.65,27.7333
8237,??????? / Tunkovo,?????? / Burgas,BGS,??????? / Nesebur,??????? / Tunkovo,42.7,27.65
8239,???? / Banja,?????? / Burgas,BGS,??????? / Nesebur,???? / Banja,42.7667,27.8333
8249,???????? / Gjul'ovca,?????? / Burgas,BGS,??????? / Nesebur,???????? / Gjul'ovca,42.7667,27.6
8250,????? / Obzor,?????? / Burgas,BGS,??????? / Nesebur,????? / Obzor,42.8167,27.8833
8251,???????? / Priselci,?????? / Burgas,BGS,??????? / Nesebur,????? / Obzor,42.8167,27.8167
8254,???????? / Panicovo,?????? / Burgas,BGS,??????? / Nesebur,,42.8333,27.6667
8255,??????? / Koznica,?????? / Burgas,BGS,??????? / Nesebur,,42.8667,27.6833
8256,????? ???? / Sveti Vlas,?????? / Burgas,BGS,??????? / Nesebur,????? ???? / Sveti Vlas,42.7167,27.7667
8257,?????????? / Rakovskovo,?????? / Burgas,BGS,??????? / Nesebur,????? / Obzor,42.8167,27.75
8200,??????? / Pomorie,?????? / Burgas,BGS,??????? / Pomorie,,42.55,27.65
8210,?????????? / Kableshkovo,?????? / Burgas,BGS,??????? / Pomorie,?????????? / Kableshkovo,42.65,27.5667
8211,???????????? / Aleksandrovo,?????? / Burgas,BGS,??????? / Pomorie,,42.7,27.6
8212,???????? / Gaberovo,?????? / Burgas,BGS,??????? / Pomorie,???????? / Gaberovo,42.6741,27.55
8213,?????? / Dubnik,?????? / Burgas,BGS,??????? / Pomorie,?????? / Dubnik,42.6833,27.5
8214,?????? / Medovo,?????? / Burgas,BGS,??????? / Pomorie,?????? / Medovo,42.7,27.5667
8215,??????? / Kamenar,?????? / Burgas,BGS,??????? / Pomorie,??????? / Kamenar,42.6167,27.5667
8216,???? / Luka,?????? / Burgas,BGS,??????? / Pomorie,,42.6167,27.55
8217,?????? / Akheloj,?????? / Burgas,BGS,??????? / Pomorie,?????? / Akheloj,42.65,27.65
8218,???? / Bata,?????? / Burgas,BGS,??????? / Pomorie,???? / Bata,42.7333,27.5
8219,??????? / Belodol,?????? / Burgas,BGS,??????? / Pomorie,??????? / Belodol,42.7167,27.45
8220,??????? / Gulubec,?????? / Burgas,BGS,??????? / Pomorie,??????? / Gulubec,42.7667,27.5333
8225,?????? / Gorica,?????? / Burgas,BGS,??????? / Pomorie,?????? / Gorica,42.8,27.5333
8247,??????? / Stracin,?????? / Burgas,BGS,??????? / Pomorie,??????? / Stracin,42.7667,27.4667
8248,??????? / Kosovec,?????? / Burgas,BGS,??????? / Pomorie,??????? / Kosovec,42.75,27.4333
8161,?????? / Pripek,?????? / Burgas,BGS,???? / Ruen,?????? / Pripek,42.3833,27.3833
8530,?????? / Ruzhica,?????? / Burgas,BGS,???? / Ruen,?????? / Ruzhica,42.7833,27.4
8531,???????? / Razbojna,?????? / Burgas,BGS,???? / Ruen,???????? / Razbojna,42.8,27.3833
